Tweet,Target,Stance
Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016,hillary clinton,0
"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it? #SemST",hillary clinton,0
"@RNRNewYork in her #Emails @HillaryClinton said there were ""a couple of Facebooks"" on her :) #TotalIncompetence #RedNationRising #SemST",hillary clinton,0
I really need my new @HillaryClinton shirt to come in. Meeting some people at the brewery same night as a Bernie meetup there. #SemST,hillary clinton,1
"@liars_never_win @HillaryClinton shhh, go get me an iced tea..... #SemST",hillary clinton,0
"#Putin, #NothingMoreAmericanThan voting based for a politician to lead the country when she can't even handle email. #think #SemST",hillary clinton,0
Can @DavidCornDC help Cuckold Conservatives win in 2016!  More cuckoldry please!  #Christie2016 #DonaldTrump #UniteBlue #p2 #SemST,hillary clinton,0
"Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie #SemST",hillary clinton,0
Let's shatter the glass ceiling! - @GerryConnolly #VAdems #SemST,hillary clinton,2
@NRO Does @johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man. #SemST,hillary clinton,2
I can vote in 2016 after all ayyyyyyyyyy #SemST,hillary clinton,2
"Hillary must have been at the Navy Yard, under sniper fire!  #SemST",hillary clinton,0
Chris Christie for President? HAHAHAHAHA!  I don't think so!  @HillaryClinton #Clinton #Hilary #SemST,hillary clinton,0
Who's monica Lewinsky's favorite football player? Ha-Ha Clinton Dix  #SemST,hillary clinton,0
@debaterlife took me a minute to realize where this came from #SemST,hillary clinton,2
If you need me I'll be screaming like a little baby from now until about ten minutes after @HillaryClinton arrives in #PTown. #SemST,hillary clinton,0
"Wasn't the original #ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business? #SemST",hillary clinton,0
"@Chris_1791 @TruthRevolt That doesn't leave much to talk about, then, does it? #SemST",hillary clinton,2
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST",hillary clinton,0
"I hate Hillary Clinton and Obama, please go die together  thrown into the ocean get ripped into prices by sharks. #SemST",hillary clinton,0
"Hillary has flipped yet again, and is now pro-sanctuary cities. #SemST",hillary clinton,0
@businessinsider One thing that's painful is the mindless minutiae her strap hanging cling-ons force her to endure. #huma #SemST,hillary clinton,0
This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California #SemST,hillary clinton,1
"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary #SemST",hillary clinton,1
@SaysMissy HRC takes us Americans for mindless fools!! How insulting! #PJNET #OiP #SemST,hillary clinton,0
"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE. #SemST",hillary clinton,1
People should and do trust me.  -woman who also denied getting a subpoena Trey Gowdy served her before she deleted emails #SemST,hillary clinton,0
"Wow RT ""@greta Baltimore Orioles to play tomorrow but no public allowed"" #BaltimoreRiots #FreddieGray #ThanksObama #WakeUpAmerica #SemST",hillary clinton,2
Just think how many emails Hillary Clinton can delete with today's #leapsecond #SemST,hillary clinton,0
"Folks, this is what happens when Liberals are in control! All hell breaks loose! Had enough yet? #SemST",hillary clinton,0
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot #SemST,hillary clinton,0
If you support @HillaryClinton you are supporting another term of the policies of George W Bush. #democrats #mepolitics #SemST,hillary clinton,0
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST",hillary clinton,2
I dislike our idiots as much as I dislike theirs. #SemST,hillary clinton,2
I'm really excited for 2016 after finding out the amount @HillaryClinton raised. We got this. #SemST,hillary clinton,0
@roughcountry451 @vendettajane Fortunately Bryan he does not have a saying on that  #freeallfour #SemST,hillary clinton,0
@HillaryClinton loving the new colorful profile pic! #loveit #SemST,hillary clinton,1
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,hillary clinton,0
H stands for Holding Back e-mails belonging to #WeThePeople #obstructingjustice #WakeUpAmerica #HillaryLiesMatter #UniteBIue #SemST,hillary clinton,0
@realDonaldTrump @WhoopiGoldberg @Univision #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll #SemST,hillary clinton,1
.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot #SemST,hillary clinton,0
"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA #SemST",hillary clinton,2
"Mining is where all the money is but our ""Leader"" says otherwise #ArrestObama #RedNationRising #OperationBendOver #NoSanctuary #SemST",hillary clinton,2
".@HillaryClinton The spatula seems appropriate, given that it can be used to easily flip positions if the heat gets to high. #SemST",hillary clinton,0
@LaureneDiCillo @NBCNews @dl34l And why are major media outlets not exposing Hillary's blatant flip flopping on this issue. #SemST,hillary clinton,0
@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary #SemST,hillary clinton,0
Low key it would be interesting to have a female president. #SemST,hillary clinton,1
Whatever is the GOP going to do now with both marriage equality and the ACA? Going to be fun to watch! #SemST,hillary clinton,2
I bet Leslie Knope would be so happy about #SemST,hillary clinton,1
@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.  #SemST,hillary clinton,0
Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice? #SemST,hillary clinton,2
@CiaraAntaya cuz you know I'm such a feminist ,hillary clinton,2
@msnbc @Lawrence @JoeBiden @SenSanders  we love Joe and Bernie--but they ARE too OLD--they would end up a #OneTerm President #SemST,hillary clinton,0
Why did you lie about the #Benghazi subpoena? @HillaryClinton  No wonder no one trusts you.  #SemST,hillary clinton,0
@HillaryClinton Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP #SemST,hillary clinton,0
"#CarlyFiorina on #hannity, very impressive. A serious presidential candidate vs. A bad actress. #SemST",hillary clinton,0
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016 #SemST,hillary clinton,2
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio #SemST,hillary clinton,0
Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. #BalitmoreRiots #SemST,hillary clinton,0
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed! #SemST,hillary clinton,0
Hillary Clinton vs. Bernie Sanders primary will be like the brawl over applesauce at the retirement home. #ReadyForHillary #SemST,hillary clinton,1
Vow today to fight the #FirstFamilyOfCorruption .@billclinton  .@hillaryclinton & keep her out of office #independents #tcot #SemST,hillary clinton,0
@gabriellahope_ @HillaryClinton Does the general public trust her enough to be President? Don't think so. #SemST,hillary clinton,0
The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc  #SemST,hillary clinton,2
The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016,hillary clinton,0
"Hilary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal. #SemST",hillary clinton,0
@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters. #SemST,hillary clinton,0
"@JW4Hillary @MrDane1982 I choose ""it takes a village! #SemST",hillary clinton,0
"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.  #SemST",hillary clinton,0
@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia #SemST,hillary clinton,1
HER NAME IS RIO AND SHE DANCES IN THE SANAAAAAND!!! WHOOOO!! #tcOT #SemST,hillary clinton,0
"The Dukes of Hazzard has been on tv for 36 years, yet you weren't offended until the #liberals told you to be.  #unitedblue #SemST",hillary clinton,0
@HillaryNews #GoKatie Ted you're not going to be President! #HillaryAllTheWay #GayMarriageisLegal #LGBT #GLAAD #PFLAG  #SemST,hillary clinton,1
"@clantro @jjauthor @CarmineZozzora  Why not, they lie about everything else, even when confronted with the truth.  #freeallfour #SemST",hillary clinton,0
I don't know how well a socialist is gonna play with southern democrats. #BernieSanders #SemST,hillary clinton,2
@BuffaloBill71 @AramisFraino @pamnsc  Thank you so much for FAVs and RTs!!! #WakeUpAmerica #SemST,hillary clinton,2
Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation.,hillary clinton,2
Loved talking with Yvette today about education and women's voices in politics. Can't wait to see her on caucus day! #FellowsIA #SemST,hillary clinton,0
"@politico  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016 #SemST",hillary clinton,0
Today LOVE won and Hate was defeated. #MorningJoe #UnitedBlue #SemST,hillary clinton,2
Hillary Clinton for Ambassador to ISIS. #SemST,hillary clinton,0
If you're not watching @HillaryClinton's speech right now you're missing her drop tons of wisdom. #SemST,hillary clinton,1
@pamnsc @TRPhrophet @RamblingMother Thank you for RTs!!! #WakeUpAmerica #dumpboehner #ditchmitch #SemST,hillary clinton,2
@robin45208 @C4Constitution Thank you so much for RTs!!! #WakeUpAmerica  #SemST,hillary clinton,0
.@EthanObama I know - it's just going to be a long year! #SemST,hillary clinton,2
RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl  #SemST,hillary clinton,2
"It's time that we move from good words 2 good works, from sound bites 2 sound solutions HILLARY CLINTON #HillaryClinton #SemST",hillary clinton,1
@lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @twitchyteam,hillary clinton,2
"@LeighStorz @jstines3 Totally agree, Hillary is an incompetent scandal ridden phony. #SemST",hillary clinton,0
"In high school, decided to be the first woman president in 2016, but I never got into politics & don't have Trump's money. #SemST",hillary clinton,2
so @AdamParkhomenko met @oliviawilde . there aren't enough words to describe my envy haha #SemST,hillary clinton,0
Thank you @HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope. #SemST,hillary clinton,1
"Never vote for @RickSantorum ""for the survival of our country"" #LoveWins #SemST",hillary clinton,2
Those aren't pantsuits. They are camouflage outfits carefully tailored to minimize silhouette. Think stealthsuits.Very high tech. #SemST,hillary clinton,0
@HillaryClinton @HillaryforNH hope to see her in NC soon #SemST,hillary clinton,1
@realDonaldTrump is the only honest voice of the @GOP and that should scare the shit out of everyone! #SemST,hillary clinton,0
Was asked by @HillaryClinton to help with her campaign. Gladly (excitedly) accepted! #SemST,hillary clinton,1
@frodofied SO? THt will NEVER erase their support of DOMA & silence on #LGBT #LGBTQ rights until it is politically aventageous. #SemST,hillary clinton,0
#everydaysexism Only > @ATikSalt < may say what sexism is. The rest of y'all shut up. #SemST,hillary clinton,2
Enjoyed @jamiaw article on feminism + @hillaryclinton.We are building campaign that engages ppl through an intersectional lens #SemST,hillary clinton,1
It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal #SemST,hillary clinton,0
@HillaryClinton @TheDemocrats How many Xanax does this wretched bitch need to sleep at night? #SemST,hillary clinton,0
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment #SemST",hillary clinton,0
@tedcruz won't be there. I'm supporting @HillaryClinton for President. #lgbtrights #ACAWorks #SemST,hillary clinton,1
"#NoHillary2016 & her #PredatorRat, too. MT ""@steve0423: We need to get these stickers up nationwide! #tcot #RedNationRising #SemST",hillary clinton,0
@thehill Great now Hillary knows how the american people feel about the majority of politicians including her #SemST,hillary clinton,0
How many poor kids could $2.5 billion feed? #SemST,hillary clinton,2
Insurgent. What will happen if Hillary becomes dictator in chief. #SemST,hillary clinton,0
#CPC thinks they can run antisocial personal attack advertising on #socialmedia! LOL! #cdnpoli #StopHarper #FeelTheBern #fnpoli #SemST,hillary clinton,2
"In 2013 Clinton Foundation collected $140M and spent $9M on direct aid, in 2014 they raised $500M and spent $100M on direct aid!  #SemST",hillary clinton,0
"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",hillary clinton,0
I'd still rather have Aaron Hernandez as President than Hillary.  #SemST,hillary clinton,0
@Molls30 @HillaryClinton I love it! One of our biggest donors is Saudi Arabia. They support women's rights completely! #GoTeam #SemST,hillary clinton,0
Clinton entitlement is the proverbial American hemorrhoid #tcot #Opinionated #SemST,hillary clinton,0
Thanks @Chefs4Hillary for amazing noms for canvassing #FITN #SemST,hillary clinton,1
Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A #SemST,hillary clinton,2
.@FoxNews @brithume ok.. So where are these emails coming from? Didnt @HillaryClinton already say the server was erased? #LIES #SemST,hillary clinton,0
"Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER #SemST",hillary clinton,0
@Ered604 welcome 2 Twitter~PROUD to be #UNITEBLUE~  #WarOnWomen  #worldpeace  #tngov #TN #socialjustice #AllLivesMatter #unity #SemST,hillary clinton,2
Fashion News: Hillary has a new clothing line coming out called Flip Flops R US   #tcot #Benghazi #SemST,hillary clinton,0
#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib #SemST,hillary clinton,0
"@FaithWarJournal Thank You for the follow, may God bless you all !  #freeallfour #SemST",hillary clinton,2
Can't wait to get my #YaaasHillary shirt!  @HillaryClinton #SemST,hillary clinton,1
The Kool-Aid drinking leftanistas continue to close ranks with support for Madame Secretary. WTF? Hillary is a fraud full of lies. #SemST,hillary clinton,0
"If @HillaryClinton becomes president I'm not leaving the country I will just go ""undocumented. #SemST",hillary clinton,0
@HillaryClinton Yes! I am chipping in 5$ because we have faith in you. #SemST,hillary clinton,1
.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny! #SemST,hillary clinton,0
Hillary needs to go to a Sheetz gas station after 10 pm to see the real America. #SemST,hillary clinton,0
Human rights are women's rights and women's rights are human rights. - Hillary Clinton #SemST,hillary clinton,1
"If Hillary Clinton is elected president in 2016, this nation will surely experience unprecedented destruction. #SemST",hillary clinton,0
Hillary's New Campaign slogan is:  HILLARY - NOTHING TO HIDE BUT THE TRUTH!  #tcot #WakeUpAmerica #SemST,hillary clinton,0
".@davelevinthal Operating a shredder, now @hillaryclinton is WAY more adept at using THAT! #WakeUpAmerica #TCOT #OhHillNO! #SemST",hillary clinton,0
America has no tolerance for cheaters and liars in the White House. #NoBillary #Women4GOP #PresidentialElection2016 #SemST,hillary clinton,0
"Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State.",hillary clinton,0
This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough #SemST,hillary clinton,1
"So glad @ChrisChristie has announced his candidacy - fits right in with all the other ""qualifies"" republicans on the list. #SemST",hillary clinton,0
& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote #SemST,hillary clinton,1
"@oreillyfactor ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016 #SemST",hillary clinton,0
"I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. #Trump2016 #SemST",hillary clinton,0
"Every time the republicans move to the middle, the liberals move the middle further to the left. #SemST",hillary clinton,2
@BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack #sellout #SemST,hillary clinton,2
"Do America a favor, If you feel you must vote for a woman candidate, Vote for #Carly2016 who at least has integrity unlike #SemST",hillary clinton,0
@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor #SemST,hillary clinton,1
<<I'm just going to be my own little self and kind of keep going along and saying what I believe in!!1!! >> #tcot #SemST,hillary clinton,2
I think that everything she says is a lie.   I mean EVERYTHING.   I don't even think her name is Hillary.  #WakeUpAmerica #SemST,hillary clinton,0
@lylafmills Simple. A revolution Two Independence Days And a clean slate. #2ndamendment #REMEMBERBENGHAZI2016 #PATRIOTSWILLRISE #SemST,hillary clinton,0
@FoundersGirl @Artist_Angie I want the first female to be competent. #SemST,hillary clinton,0
.@CaptYonah @thehill Fine; unethical or illegal quid pro quo uranium deal works for me. #SemST,hillary clinton,2
@FoxNews we just have to hang in there long enough that this idiot doesn't completely destroy the country #SemST,hillary clinton,0
Ok now Latino are deciding who is going to be president of the US #Jeb2016 #DonaldTrump #Sanders2016 # #SemST,hillary clinton,0
"Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self. #SemST",hillary clinton,2
"@3_Card_Monty : I believe the title would be ""First Lord"". Let THAT sink in!! #PJNET #SemST",hillary clinton,2
"@Lawrence @TheLastWord There is no enthusiasm gap, Mr. Lawrence!    -@TheHRCSuperVols   @JW4Hillary @kimfrederi #Hillarymen #SemST",hillary clinton,0
@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi  #SemST,hillary clinton,0
@WhiteHouse @BarackObama @HillaryforIA @BarackObama The whole #world is supporting you. #SemST,hillary clinton,1
"@finneyk Can't stand @msnbc anymore, but hope @HillaryClinton will go on the @maddow Show! This needs to happen!! #SemST",hillary clinton,1
Excited to be working with some great #FellowsSC this summer. They're some pretty great people that are fired up for #LetsGo #SemST,hillary clinton,2
@thegirlwithfood though. But there are people saying they just aren't going to vote at all which is ridiculous so #SemST,hillary clinton,2
"Dick Morris: @HillaryClinton is ""fundamentally corrupt"". He should know! #copolitics  #wcs15 #SemST",hillary clinton,0
Very excited to hear Sen. Klobuchar speak today! #SemST,hillary clinton,2
"@MedvedSHOW   wow.  So shrill. Hating Hillary as badly as you hate homeless, transgenders, and people who ride trains #SemST",hillary clinton,0
Too many women in too many countries speak the same language ¢´ ´Ó of silence. HILLARY CLINTON #HillaryCliton #Hillary4Women #SemST,hillary clinton,1
Hillary Clinton has not driven a car since 1996. #clintonfakerealityshow,hillary clinton,0
My dad told me he's voting for Hillary. I'm so proud. LOL #SemST,hillary clinton,1
Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern #SemST,hillary clinton,2
Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something #SemST,hillary clinton,0
@anthonyweiner super out of touch and stupid.   Please go away. #NYCPride #NYC #SemST,hillary clinton,0
"If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants. #SemST",hillary clinton,0
#hillaryclinton is a champion of data removal. #SemST,hillary clinton,0
@TajMagruder  Facetious much? Had me going there. #SemST,hillary clinton,2
@HillaryClinton You have proven your dishonesty once again in flip flopping on this issue. People know you were opposed before. #SemST,hillary clinton,0
Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself #SemST,hillary clinton,0
"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you? #SemST",hillary clinton,2
"@Babbsgirl2 ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016 #SemST",hillary clinton,0
"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools #SemST",hillary clinton,0
@GovChristie can't even run NJ and wants to be president? I'd vote for him before @HillaryClinton #SemST,hillary clinton,0
"@HillaryClinton More lies and hypocrisy. As senator of NY, you clearly said you were opposed to gay marriage. #SemST",hillary clinton,0
"@HillaryClinton : ""Change religious beliefs"" to accommodate the violence of abortion?! #WhyI'mNotVotingForHillary #SemST",hillary clinton,0
"RT @muradguderian: Democrats are Red, Obama is a Communist, I'm a true Patriot, So stop Hillary.  #tcot #SemST",hillary clinton,0
"What are you afraid of @HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS",hillary clinton,0
"Why does the "" shit barometer "" always rise when Republicans speak? #USA #July4 #SemST",hillary clinton,0
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA #SemST,hillary clinton,0
@popcornreel @joanwalsh @SenSanders @BernieSanders He is what he is and it doesn't resonate with minority and black voters! #SemST,hillary clinton,2
"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary #SemST",hillary clinton,1
RT @FutureTXLeader: Who in #CorpusChristi is ready for #MarcoRubio in #2016 #Hooks #CC #Texas #TX #361 #KeepTexasRed #GOP #Tea... #SemST,hillary clinton,0
@MyOTRadventure Compassion the new frontier Hillary will go where she's never gone before She'll need a village & a committee #SemST,hillary clinton,0
2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary,hillary clinton,0
"@zacharyebell Thank you 4the follow. God bless you and those you love! God bless America, may she always be the land of the free! #SemST",hillary clinton,2
I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio #SemST,hillary clinton,0
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops #SemST",hillary clinton,0
Hillary had just enough time to doctor her email inbox to her advantage before releasing them.... hahaha #justkidding #SemST,hillary clinton,0
"@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM",hillary clinton,2
"@HillaryClinton Your treatment of the press, Amb Stevens' fam, and the intel of the American ppl is enough to send you to jail #SemST",hillary clinton,0
"The owner of Univisin, donated as much as $25 million to the Clinton Foundation, his wife sits on its board #Univision #Trump #SemST",hillary clinton,0
@BDabs888 let's go shoot your now today. #SemST,hillary clinton,2
Hillary Clinton makes Nixon look like an amateur schoolboy #ClintonCash #ClintonFoundation #Clinton #SemST,hillary clinton,0
I would LMAO if some negro Democrat decides to run for President. #HillaryClinton2016 #HillarysBigAnnouncement #HillarysDonors #SemST,hillary clinton,0
@SLessard 100% agree. We need a woman like Hillary that can help this country get nursed back together! #SemST,hillary clinton,1
I got it! I got it!   A Hillary accomplishment!   She's managed to stay out of prison despite a 30-year crime spree. #tcot #ocra #SemST,hillary clinton,0
Wouldn't be surprise that it comes to light that Chelsea's husband cheats on her. #HillaryClinton #SemST,hillary clinton,0
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency???? #SemST,hillary clinton,0
@megynkelly Hahahaha combed through emails!!! Bunch of scumbags!!! #NoHillary2016 #SemST,hillary clinton,0
A circus Act such as Donald Trump is short term entertainment. Soon to be canceled. #SemST,hillary clinton,2
Will the media ever get real with Hillary? #2016 #Benghazi #Clinton #SemST,hillary clinton,0
@PolitiBunny @Seja75 @hubbit @HillaryClinton I'm voting in the Democrat primary this year...to support @BernieSanders.  #SemST,hillary clinton,0
"@hughhewitt like I tweeted you way back when, #ACA software can be fixed , but GOP strategic mistake of 'repeal' can't be fixed #SemST",hillary clinton,0
"Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high. #SemST",hillary clinton,2
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders #SemST,hillary clinton,0
@TX_1 @politicalmath Then you know how slippery snakes slither over shards of glass! #SemST,hillary clinton,2
Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary,hillary clinton,0
@sgtis0905 @UnPoliticalPrty Never forget @emaleroland #Benghazi Shackle the criminal element #SemST,hillary clinton,0
Hillary is on her way to #Baltimore to be their champion. #BaltimoreRiots #SemST,hillary clinton,1
Join the Hillary team now and come to the Jefferson County phone bank tomorrow from 6-8 at Bliss Studio in Fairfield! #SemST,hillary clinton,1
"@senna1 @KirillWasHere how many men are getting their dicks sucked daily in congress, etc and no one gives a shit... #SemST",hillary clinton,2
@kimkennedy4 thats why they still have no voting rights. #SemST,hillary clinton,2
@CNNPolitics @JDiamond1 that's so ridiculous to treat people like that. They are doing their jobs. #SemST,hillary clinton,2
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @AaronBlakeWP #SemST,hillary clinton,0
@JVollmer08 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia,hillary clinton,1
Since #SNL ain't that funny anymore please @JoeBiden run for president.. if even just for the hilarious debates between you & #SemST,hillary clinton,0
It's great that @JebBush supports GMO crops. It's like the IT scepticism all over again. Science vs belief. #JebBush #SemST,hillary clinton,0
SLOWLY SLOWLY THE DEBT CRISIS WILL IMPLODE NATIONS CURRENCY #AmericaDeadBrokeSAVE THE DOLLAR NOW #SemST,hillary clinton,2
Grateful for the chance to tell the world about my love of many flavors of ice cream! #WakeUpAmerica #SemST,hillary clinton,0
@HillaryClinton R U desperate or what? 3rd Hillary tweet on my timeline 2day. NOT gonna vote 4 U! #SemST,hillary clinton,0
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency. #SemST",hillary clinton,0
@WashTimes @BretBaier Why is there no outrage about all the smoke & mirrors w/ this candidate? Are you hiding Hill! #SpillHill #SemST,hillary clinton,0
@JewboyDonny oh I know he won't he effed himself over in the beginning  #SemST,hillary clinton,2
Thank you for your kind RTs and FAVs @pamnsc !!! #WakeUpAmerica #todosmarchamos #Cuba #SemST,hillary clinton,0
"RT @HillaryHaikus: #Ready because one day girls will say: I want to be President, too.  #ReadyForHillary #haiku #SemST",hillary clinton,0
"@churstauthor Thanks for the follow Charles, may God bless you and your family !  #freeallfour #SemST",hillary clinton,2
"It's a miracle, suddenly #Democrats don't mind having someone who voted for war.",hillary clinton,0
@HillaryClinton Are those women #BillClinton's next targets for assault? #MonicaLewinsky #WarOnWomen #HillaryClinton #tlot #SemST,hillary clinton,0
@smileitsalicia @greekgummybear2 now i can live in peace,hillary clinton,2
